composition_key,experimental_prediction,experimental_ensemble_sd,experimental_distance,hse_prediction_calibrated,hse_ensemble_sd,hse_distance,hse_contract_eligible,contract_fusion_prediction,retrieval_routed_prediction,exact_lookup_available,exact_lookup_sources,exact_lookup_dois
Ba:0.00250000|C:0.08333333|H:0.50000000|I:0.25000000|N:0.08333333|Pb:0.08083333,1.9704068333333342,0.044107476161980935,2.024554170495004,2.566088583125823,0.030416488848635043,1.6345758839707767,False,1.9704068333333342,1.9704068333333342,False,0,0
Ba:0.00416667|C:0.08333333|H:0.50000000|I:0.25000000|N:0.08333333|Pb:0.07916667,1.9649801666666675,0.03661345233072311,1.9582187327434712,2.5681687212822304,0.02426014598160154,1.6578358469306556,False,1.9649801666666675,1.9649801666666675,False,0,0
Ba:0.00600000|Br:0.60000000|Cs:0.20000000|Pb:0.19400000,2.31606113888889,0.09273856529472671,3.2613527619039284,2.48034651242991,0.03104027780054541,1.856176018908046,True,2.4261604253119917,2.4261604253119917,False,0,0
Ba:0.00833333|C:0.08333333|H:0.50000000|I:0.25000000|N:0.08333333|Pb:0.07500000,1.9535160555555566,0.04765939852011795,1.799033261992122,2.568322517152766,0.02396681235950938,1.7334216784819925,False,1.9535160555555566,1.9535160555555566,False,0,0
Ba:0.02000000|Br:0.20000000|Cs:0.20000000|I:0.40000000|Pb:0.18000000,2.096137027777778,0.06978775625367596,6.334069470660883,2.208726351877841,0.022682096519527153,3.7564868810560075,False,2.096137027777778,2.096137027777778,False,0,0
Ba:0.02000000|Cs:0.20000000|I:0.60000000|Pb:0.18000000,2.0137419444444453,0.06494109663425929,4.743749397490876,2.215343141734629,0.0170572613926251,1.7257038454484264,True,2.1892176041303215,2.1892176041303215,False,0,0
Ba:0.04000000|Br:0.20000000|Cs:0.20000000|I:0.40000000|Pb:0.16000000,2.101744083333333,0.07159028746231688,6.669500803842425,2.2141577346165304,0.02361552041890591,4.086492513269126,False,2.101744083333333,2.101744083333333,False,0,0
Ba:0.06000000|Br:0.20000000|Cs:0.20000000|I:0.40000000|Pb:0.14000000,2.1127235833333335,0.06287870699434944,6.800673847921956,2.217150940217909,0.02918301897860426,4.162025983385453,False,2.1127235833333335,2.1127235833333335,False,0,0
Ba:0.08000000|Br:0.20000000|Cs:0.20000000|I:0.40000000|Pb:0.12000000,2.124062472222222,0.06276188244218861,7.028694643583533,2.2164657909767023,0.028117541491428734,3.742748560587807,False,2.124062472222222,2.124062472222222,False,0,0
Bi:0.00200000|Cs:0.20000000|I:0.60000000|Pb:0.19800000,2.0323194722222238,0.0704573142538882,4.778159142468169,2.21587033194873,0.012241077881358272,2.500052517921977,False,2.032319472222224,2.032319472222224,False,0,0
Bi:0.00416667|C:0.08333333|H:0.41666667|I:0.25000000|N:0.16666667|Pb:0.07916667,1.6650980277777794,0.03562636971814523,1.9695829468861188,2.6249655484335985,0.028837873947127564,2.3762130351514097,False,1.6650980277777794,1.6650980277777794,False,0,0
Bi:0.00500000|Cs:0.20000000|I:0.60000000|Pb:0.19500000,2.031535166666668,0.06979087178474949,4.7754976383403305,2.217279860545483,0.012580123241966907,2.4998802646130174,False,2.031535166666668,2.031535166666668,False,0,0
Bi:0.00800000|Cs:0.20000000|I:0.60000000|Pb:0.19200000,2.0252729444444455,0.070115720794215,4.772735662288952,2.2181115563657636,0.013816440422983077,2.4996855664294286,False,2.0252729444444455,2.0252729444444455,False,0,0
Bi:0.01000000|Cs:0.20000000|I:0.60000000|Pb:0.19000000,2.021521000000001,0.06505615164727158,4.770862103018851,2.2215524078635873,0.014361561378484891,2.49955402309355,False,2.021521000000001,2.021521000000001,False,0,0
Bi:0.01052632|C:0.26315789|H:0.36842105|I:0.21052632|N:0.10526316|Sb:0.04210526,1.8427800447222222,0.044997841744970124,1.7085449923275404,2.673938697384483,0.026870925925121903,1.8145757400160205,False,1.842780044722222,1.842780044722222,False,0,0
Bi:0.01200000|Cs:0.20000000|I:0.60000000|Pb:0.18800000,2.0177532222222236,0.06375913537292598,4.7689698937378155,2.221347960953154,0.015847107048231952,2.499423845360167,False,2.0177532222222236,2.0177532222222236,False,0,0
Bi:0.03125000|C:0.18750000|H:0.56250000|I:0.15625000|N:0.06250000,2.0330580099999986,0.023334641302171794,4.500446552334274,2.861027985708462,0.015006766904696212,2.6238398521763107,False,2.0330580099999986,2.0330580099999986,False,0,0
Bi:0.03703704|C:0.11111111|H:0.66666667|I:0.07407407|N:0.11111111,1.8435681488888882,0.02392404202156753,3.3584782366059733,3.3788398868930485,0.07493144443086545,2.3239955114150477,False,1.8435681488888882,1.8435681488888882,False,0,0
Bi:0.03846154|C:0.15384615|H:0.46153846|K:0.03846154|N:0.03846154|O:0.23076923|Te:0.03846154,2.6097490103174588,0.051505719402880505,1.6405927631046002,3.3351506475992054,0.03692325665660596,3.02888030978738,False,2.6097490103174588,2.6097490103174588,False,0,0
Bi:0.04545455|C:0.13636364|H:0.54545455|I:0.20454545|N:0.06818182,2.0902082544444442,0.029130897254390463,1.5880330622694778,2.763922081747139,0.022838767346598086,1.8507068800620345,False,2.0902082544444442,2.0902082544444442,False,0,0
Bi:0.04878049|C:0.07317073|H:0.43902439|I:0.21951220|N:0.21951220,2.1550674166666672,0.04584196249277464,1.8588779846567203,2.7276148376946643,0.016797570566066098,1.3356671933735031,False,2.1550674166666672,2.1550674166666672,False,0,0
Bi:0.05128205|C:0.07692308|H:0.46153846|I:0.33333333|N:0.07692308,2.092553266666667,0.01671474933266118,1.7267054486072242,2.5445846109004093,0.03148806171764496,2.7402735869238266,False,2.092553266666667,2.092553266666667,False,0,0
