repetition,comparator,relative_log_rmse_gain,spearman_gain,raw_r2_gain
40,LiPF6_only,0.23526605448705162,0.04493171966274856,-0.023244528871655068
40,LiBOB_wrong_salt_control,0.3012481628103544,0.12200987613973657,0.4640439692458984
40,LiBF4_fluorinated_control,0.3499573618624948,0.11318822748124835,0.6758371631703967
41,state_only,0.2839104585054617,0.15477689172143705,0.1852553278546929
41,chemistry_permuted,0.27678660211366135,0.13084600493424148,0.16422128545257775
41,without_LiPF6,0.1822935818580863,0.04153270977816925,0.29360731514508887
41,LiPF6_only,0.32266820785687855,0.03995774972675792,-0.08308004467031016
41,LiBOB_wrong_salt_control,0.26230136728677356,0.13138728273873868,0.23342465803723067
41,LiBF4_fluorinated_control,0.4620474617093947,0.11929428943735554,0.770194248503976
42,state_only,0.2764538648521,0.1832605036494096,0.23217934246950245
42,chemistry_permuted,0.26159221906395724,0.14728762960681008,0.15663217387453232
42,without_LiPF6,0.1736231290394169,0.05972255440152563,0.2571534858755842
42,LiPF6_only,0.30941476603252194,0.050339763231791124,-0.06557565873286264
42,LiBOB_wrong_salt_control,0.31536695232267753,0.13472643556805586,0.4354699271679491
42,LiBF4_fluorinated_control,0.40903925045025136,0.13497425772960137,0.7491238156962892
43,state_only,0.27259966469656316,0.17893892182587057,0.26099699474132854
43,chemistry_permuted,0.2483588165205156,0.13741929307841916,0.16761325541756777
43,without_LiPF6,0.1555111863956019,0.04801576523493989,0.24270052797295572
43,LiPF6_only,0.24347974805298345,0.041918183088360705,-0.0464956556185383
43,LiBOB_wrong_salt_control,0.3572899205081177,0.15512523849589022,0.6125759801609998
43,LiBF4_fluorinated_control,0.37097668442470033,0.12402100187293563,0.7249646380975205
44,state_only,0.2924691427148354,0.1757824261617441,0.20485511817088708
44,chemistry_permuted,0.2749507421122357,0.14332450257189844,0.14041636474716268
44,without_LiPF6,0.16944771381363666,0.056320899801663105,0.3073078876387605
44,LiPF6_only,0.32918767201102717,0.0608368674208799,-0.041794020849168056
44,LiBOB_wrong_salt_control,0.2977173612191407,0.12667757118009737,0.42937707131399716
44,LiBF4_fluorinated_control,0.4139145534530042,0.1560722405048458,0.693239919112836
45,state_only,0.2686884481114552,0.14808484975062053,0.22488150167202914
45,chemistry_permuted,0.25629202185216093,0.12482937666067973,0.16704596738724675
45,without_LiPF6,0.1456929799277069,0.05526163974613674,0.32823992105935906
45,LiPF6_only,0.3154515900226589,0.04108660859909785,-0.017087708933260837
45,LiBOB_wrong_salt_control,0.2993573512145945,0.1343807429152235,0.6004165623865304
45,LiBF4_fluorinated_control,0.4024794490919221,0.12592194285524327,0.773401413750127
46,state_only,0.2961521130827005,0.16658261750522618,0.2707657957141184
46,chemistry_permuted,0.27392523592237816,0.1306288953367648,0.17397804369508207
46,without_LiPF6,0.16465059526321835,0.04822531413814235,0.2602194142715982
46,LiPF6_only,0.2755806781116463,0.05566384302749183,0.0025556943191680226
