scope,seed,policy,auc20,first_hit,recall20,recall40,regret20
hard_ood_40pct,72,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,72,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,73,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,73,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,74,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,74,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,75,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,75,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,76,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,76,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
hard_ood_40pct,77,neighbor_round_robin,41.0,2,1.0,1.0,0.0
hard_ood_40pct,77,neighbor_consensus_top40,52.0,1,1.0,1.0,0.0
