budget,repeat,method,scope,evaluation_rows,rmse,mae,r2,spearman,selected_alpha,selected_correction_weight,mean_absolute_correction,active_training_rows,inner_hurdle_fallback_folds,training_scaffolds,insufficient_scaffold_abstention,target_only_rmse,relative_rmse_gain
30,10,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,521,0.6927072463706087,0.394181959323505,-0.2738709310115468,0.2576576686803554,0.1,1.0,0.18026616605013207,8,1,12,False,0.6194497458120745,-0.11826221748222121
30,10,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,521,0.6194497458120745,0.31341390661718416,-0.018680807616826778,0.24376091840457076,0.1,0.0,0.0,8,1,12,False,0.6194497458120745,0.0
30,10,state_blind_pretrained_residual,full_scaffold_separated_evaluation,521,0.6194497458120745,0.31341390661718416,-0.018680807616826778,0.24376091840457076,0.1,0.0,0.0,8,1,12,False,0.6194497458120745,0.0
30,10,target_only_direct_regression,full_scaffold_separated_evaluation,521,0.6359422985746488,0.29760553459048855,-0.07364669200664031,0.32834051074399584,,,,8,1,12,False,0.6194497458120745,-0.026624520994763243
30,11,scalar_optical_residual,dynamic_hard_ood_40pct,210,0.6676051794341109,0.3254809506135467,0.02111757209682341,0.13018088180699455,0.1,0.25,0.05103526200537902,13,1,10,False,0.6662441743861999,-0.002042802174090163
30,11,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,210,0.8619246892487651,0.40203824716662684,-0.6316604233144989,0.1589655192567888,0.1,0.1,0.1008524442121678,13,1,10,False,0.6662441743861999,-0.2937069056443796
30,11,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,210,0.6662441743861999,0.31092033963828114,0.02510467694559848,0.09820510309577951,0.1,0.0,0.0,13,1,10,False,0.6662441743861999,0.0
30,11,state_blind_pretrained_residual,dynamic_hard_ood_40pct,210,0.6655208902685568,0.305056209636024,0.027220248332395225,0.13630218014402773,1000.0,0.5,0.04009710708958917,13,1,10,False,0.6662441743861999,0.0010856141718754363
30,11,target_only_direct_regression,dynamic_hard_ood_40pct,210,0.670075454166198,0.32191287613907854,0.013860042202640699,0.0789598984204393,,,,13,1,10,False,0.6662441743861999,-0.0057505640233594295
30,11,scalar_optical_residual,full_scaffold_separated_evaluation,523,0.6165974120661417,0.34614652297257315,-0.01318550993508305,0.4032118379916561,0.1,0.25,0.05103526200537902,13,1,10,False,0.6084498861780961,-0.013390627680486987
30,11,shuffled_source_pretrained_residual,full_scaffold_separated_evaluation,523,0.7819411175649136,0.3925505277540871,-0.6294223769292364,0.4103103175116848,0.1,0.1,0.1008524442121678,13,1,10,False,0.6084498861780961,-0.2851364349438562
30,11,state_aligned_pretrained_residual,full_scaffold_separated_evaluation,523,0.6084498861780961,0.32371123553058967,0.013413420938272802,0.38410058669577535,0.1,0.0,0.0,13,1,10,False,0.6084498861780961,0.0
30,11,state_blind_pretrained_residual,full_scaffold_separated_evaluation,523,0.6125945799000645,0.33134995598776756,-7.339709124232208e-05,0.3898476034010775,1000.0,0.5,0.04009710708958917,13,1,10,False,0.6084498861780961,-0.006811890044063842
30,11,target_only_direct_regression,full_scaffold_separated_evaluation,523,0.6273929537838507,0.34260475398566265,-0.048974301292916245,0.38998691484120357,,,,13,1,10,False,0.6084498861780961,-0.03113332426560742
30,12,scalar_optical_residual,dynamic_hard_ood_40pct,216,0.7025079593027924,0.345087897677958,0.02843530658116078,0.2510464824229727,1.0,0.5,0.07380342207080667,13,0,13,False,0.7121276641732733,0.013508399342481197
30,12,shuffled_source_pretrained_residual,dynamic_hard_ood_40pct,216,0.7121276641732733,0.3403632362903975,0.001645130716085963,0.1677153005492517,0.1,0.0,0.0,13,0,13,False,0.7121276641732733,0.0
30,12,state_aligned_pretrained_residual,dynamic_hard_ood_40pct,216,0.7121276641732733,0.3403632362903975,0.001645130716085963,0.1677153005492517,0.1,0.0,0.0,13,0,13,False,0.7121276641732733,0.0
30,12,state_blind_pretrained_residual,dynamic_hard_ood_40pct,216,0.7017042543746607,0.3418125056409413,0.030657074049826316,0.21410650995528527,100.0,0.1,0.01719906460674809,13,0,13,False,0.7121276641732733,0.01463699603737971
