repeat,requested_budget,budget,learner,scope,source,baseline_rmse,rmse,relative_rmse_reduction,r2,mae,spearman,n
70,15,15,extra-trees-primary,all,alloy_control,3.375281086247562,3.3517516807553482,0.006971095115036046,0.04352188305538596,2.801066627956495,0.4172730033356139,110
71,15,15,extra-trees-primary,all,alloy_control,3.519681709052791,3.480028040765231,0.011266265408479623,-0.031090661178052148,2.1652545373829426,0.23556852534051365,110
72,15,15,extra-trees-primary,all,alloy_control,5.035114979957339,4.858339738715094,0.03510848152344333,-1.0095884652769676,4.062684766353623,0.1626104135012571,110
73,15,15,extra-trees-primary,all,alloy_control,5.472185105022644,5.3623338862516325,0.02007447055659447,-1.448155899770256,3.7877820332733343,0.0044816753066106545,110
74,15,15,extra-trees-primary,all,alloy_control,5.972995418735434,6.084290743453212,-0.018633083890986963,-2.151746540205063,4.608419023456491,0.20983962461972316,110
75,15,15,extra-trees-primary,all,alloy_control,4.956999375018663,4.906712861150795,0.010144547147068939,-1.0498055026966018,3.950816741504479,0.1973348899474681,110
76,15,15,extra-trees-primary,all,alloy_control,3.247864621331802,3.3488903128253202,-0.031105265542777556,0.04515426388844035,2.435586425849973,0.08786195730386277,110
77,15,15,extra-trees-primary,all,alloy_control,3.2452149741966636,3.206156166999211,0.012035815040919285,0.12481329550758447,2.4175157350901983,0.43911436243609425,110
78,15,15,extra-trees-primary,all,alloy_control,3.548253973546977,3.493676046300687,0.015381629289554992,-0.03919400137182505,2.1553176164977152,0.3600458195896016,110
79,15,15,extra-trees-primary,all,alloy_control,3.347049941229341,3.321345801948506,0.007679640200227829,0.06079681702484263,2.5089432830569045,0.2518304057613583,110
80,15,15,extra-trees-primary,all,alloy_control,3.941943248962169,3.9053263741664628,0.009289041592708503,-0.29851220336940965,2.639071431002355,0.18408308173506704,110
81,15,15,extra-trees-primary,all,alloy_control,5.092413601938862,5.240060996792385,-0.028993598398470367,-1.337782221152784,4.239994566896812,0.15413446535903777,110
82,15,15,extra-trees-primary,all,alloy_control,4.187186890643524,4.260300353516656,-0.017461237050705253,-0.5452964362962618,3.53719750283533,0.23073974185292345,110
83,15,15,extra-trees-primary,all,alloy_control,5.396285473829011,5.578192346133255,-0.03370964586407787,-1.6492219064421776,4.137944376287591,0.0485338386971368,110
84,15,15,extra-trees-primary,all,alloy_control,5.336071548640165,5.320293275830151,0.0029569080298472885,-1.4099193716729794,4.555181961320763,0.06621026190838777,110
85,15,15,extra-trees-primary,all,alloy_control,3.235823880467787,3.2841256353618413,-0.014927189080226319,0.08172895063715269,2.382279020034232,0.28082667660139865,110
86,15,15,extra-trees-primary,all,alloy_control,4.714678346699544,4.522310344528585,0.04080193557756143,-0.7412137653285964,3.6268855663450488,0.12994957976491764,110
87,15,15,extra-trees-primary,all,alloy_control,4.639355798492842,4.408463778101724,0.04976812092448836,-0.6546491489024246,3.9295161730292953,0.4114103845222043,110
88,15,15,extra-trees-primary,all,alloy_control,3.8844542312491095,3.6927044429814817,0.04936337947428139,-0.1609685753043646,2.824321692793237,0.20963584836808138,110
89,15,15,extra-trees-primary,all,alloy_control,3.150174334290997,3.1712879744415305,-0.006702371967386888,0.14374577372335184,2.390145791123837,0.21407473338697808,110
90,15,15,extra-trees-primary,all,alloy_control,3.8184521855330265,3.7633045996872254,0.014442392667567961,-0.20578564504187646,2.81811613470349,0.16866904798653173,110
