anchor_budget,draw,model,comparator,relative_log_rmse_gain,spearman_gain,top_quartile_precision_gain,normalized_regret_reduction
3,26,bamboo_all_adapted,target_only_ridge,0.3858406971695221,1.1284365377411085,0.8888888888888888,0.11023842194502584
3,26,programme_balanced_portfolio_frozen,target_only_ridge,0.2726063979237541,1.162864548223139,1.0,0.11023842194502584
3,26,programme_balanced_portfolio_adapted,target_only_ridge,0.281007680166907,1.143812154072889,0.8888888888888888,0.09096753187904444
3,26,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.1399433874558416,1.0,0.09096753187904444
3,27,bamboo_all_frozen,target_only_ridge,0.41240459964112397,0.6350798050083252,0.5555555555555556,0.10720331591695453
3,27,bamboo_all_adapted,target_only_ridge,0.4085483808884314,0.6541321991585751,0.5555555555555556,0.10720331591695453
3,27,programme_balanced_portfolio_frozen,target_only_ridge,0.2961211128820004,0.651458178926961,0.6666666666666667,0.10720331591695453
3,27,programme_balanced_portfolio_adapted,target_only_ridge,0.3069277442861852,0.6507896738690575,0.6666666666666667,0.10720331591695453
3,27,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.6283678383522225,0.6666666666666667,0.08793242585097313
3,28,bamboo_all_frozen,target_only_ridge,0.3876756491993302,0.44689563120849,0.5555555555555556,0.07746559783977132
3,28,bamboo_all_adapted,target_only_ridge,0.3869399568506563,0.45257792420066983,0.5555555555555556,0.07746559783977132
3,28,programme_balanced_portfolio_frozen,target_only_ridge,0.25718698034587173,0.46427676271398094,0.6666666666666667,0.07746559783977132
3,28,programme_balanced_portfolio_adapted,target_only_ridge,0.2974736133005432,0.4539149343164766,0.5555555555555556,0.05819470777378992
3,28,programme_balanced_rank_consensus_frozen,target_only_ridge,,0.45422553967348905,0.6666666666666667,0.05819470777378992
3,29,bamboo_all_frozen,target_only_ridge,0.5899099360197093,1.2594635290901948,0.8888888888888888,0.11023842194502584
3,29,bamboo_all_adapted,target_only_ridge,0.5866214400852534,1.245759175403173,0.8888888888888888,0.11023842194502584
3,29,programme_balanced_portfolio_frozen,target_only_ridge,0.5205078247148247,1.2761761555377822,1.0,0.11023842194502584
3,29,programme_balanced_portfolio_adapted,target_only_ridge,0.5220049825936043,1.2601320341480982,0.7777777777777778,0.09096753187904444
3,29,programme_balanced_rank_consensus_frozen,target_only_ridge,,1.2473993310668532,1.0,0.09096753187904444
3,30,bamboo_all_frozen,target_only_ridge,0.3420108339683512,0.48082226289709257,0.5555555555555556,0.08758882980983045
