composition_key,band_gap,band_gap_q25,band_gap_q75,n_dois,n_extractions,element_system,formula_name,band_gap_iqr
Ag:0.20000000|C:0.30000000|N:0.40000000|O:0.10000000,2.2,2.2,2.2,1,1,Ag-C-N-O,Ag2O / g-C3N4,0.0
Ag:0.20000000|Ce:0.20000000|Fe:0.20000000|O:0.40000000,1.87,1.87,1.87,1,1,Ag-Ce-Fe-O,Ag / CeOx / FeOy,0.0
Ag:0.20000000|Ce:0.20000000|I:0.20000000|O:0.40000000,2.75,2.75,2.75,1,1,Ag-Ce-I-O,CeO2–AgI,0.0
Ag:0.20000000|Co:0.10000000|Fe:0.20000000|O:0.50000000,1.33,1.33,1.33,1,1,Ag-Co-Fe-O,CoFe2O4–Ag2O,0.0
Ag:0.20000000|Co:0.20000000|F:0.60000000,0.43,0.43,0.43,1,1,Ag-Co-F,AgCoF3,0.0
Ag:0.20000000|Cu:0.20000000|Ga:0.20000000|S:0.40000000,2.4850000000000003,2.4850000000000003,2.4850000000000003,1,1,Ag-Cu-Ga-S,Cu1-xAgxGaS2,0.0
Ag:0.20000000|Cu:0.20000000|In:0.20000000|Te:0.40000000,0.93,0.93,0.93,1,1,Ag-Cu-In-Te,Cu1−xAgxInTe2,0.0
Ag:0.20000000|F:0.20000000|O:0.40000000|Ti:0.20000000,2.8,2.8,2.8,1,1,Ag-F-O-Ti,AgTiO2F,0.0
Ag:0.20000000|F:0.60000000|Zn:0.20000000,0.75,0.75,0.75,1,3,Ag-F-Zn,AgZnF3,0.0
Ag:0.20000000|Ga:0.20000000|In:0.20000000|Se:0.40000000,1.64,1.64,1.64,1,1,Ag-Ga-In-Se,AgIn1−xGaxSe2,0.0
Ag:0.20000000|Ga:0.20000000|Se:0.53333333|Si:0.06666667,2.3,2.3,2.3,2,3,Ag-Ga-Se-Si,Ag3Ga3SiSe8,0.0
Ag:0.20000000|I:0.20000000|O:0.60000000,3.23,3.1475,3.29,4,4,Ag-I-O,AgIO3,0.14250000000000007
Ag:0.20000000|In:0.20000000|S:0.40000000|Zn:0.20000000,1.9,1.65,2.15,2,2,Ag-In-S-Zn,(AgIn)xZn2(1−x)S2,0.5
Ag:0.20000000|N:0.20000000|O:0.60000000,2.455,2.0825,2.8275,2,3,Ag-N-O,AgNO3,0.7450000000000001
Ag:0.20000000|Na:0.20000000|O:0.60000000,0.76,0.76,0.76,1,1,Ag-Na-O,Na1AgO3,0.0
Ag:0.20000000|Nb:0.20000000|O:0.60000000,2.8,2.8,2.8,2,2,Ag-Nb-O,AgNbO3,0.0
